"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 27 23:09:04 MSK 2022","Thu Oct 27 23:09:04 MSK 2022","51","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","04. Заполняем поле Адрес",""
"passed","Thu Oct 27 23:09:07 MSK 2022","Thu Oct 27 23:09:07 MSK 2022","76","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","11. Заполняем поле коментарий для курьера",""
"passed","Thu Oct 27 23:08:06 MSK 2022","Thu Oct 27 23:08:10 MSK 2022","4154","tests","Тестирование блока оформления заказа","TestOrderPage","","","1. Проверка создания заказа на самокат, через кнопку 'Заказать' в header сайта",""
"passed","Thu Oct 27 23:08:00 MSK 2022","Thu Oct 27 23:08:00 MSK 2022","249","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","8. Проверка текста в ответе на важный вопрос Я жизу за МКАДом, привезёте?""",""
"passed","Thu Oct 27 23:09:04 MSK 2022","Thu Oct 27 23:09:05 MSK 2022","823","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","05. Заполняем поле Метро",""
"passed","Thu Oct 27 23:09:05 MSK 2022","Thu Oct 27 23:09:06 MSK 2022","545","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","08. Выбираем дату доставки самоката",""
"passed","Thu Oct 27 23:07:53 MSK 2022","Thu Oct 27 23:07:53 MSK 2022","246","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","7. Проверка текста в ответе на важный вопрос ""Можно ли отменить заказ?""",""
"passed","Thu Oct 27 23:07:25 MSK 2022","Thu Oct 27 23:07:26 MSK 2022","247","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","3. Проверка текста в ответе на важный вопрос ""Как рассчитывается время аренды?""",""
"passed","Thu Oct 27 23:09:07 MSK 2022","Thu Oct 27 23:09:08 MSK 2022","456","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","12. Подтверждаем создание заказа",""
"passed","Thu Oct 27 23:08:32 MSK 2022","Thu Oct 27 23:08:32 MSK 2022","238","tests","Тестирование переходов на главной странице","TestMainPage","","","2. Проверка перехода на страницу создания заказа на самокат",""
"passed","Thu Oct 27 23:07:45 MSK 2022","Thu Oct 27 23:07:45 MSK 2022","246","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","6. Проверка текста в ответе на важный вопрос ""Вы привозите зарядку вместе с самокатом?""",""
"passed","Thu Oct 27 23:09:08 MSK 2022","Thu Oct 27 23:09:08 MSK 2022","238","tests","Тестирование блока end 2 end заказа","TestEnd2EndOrderPage","","","14. Нажимаем отменить заказ",""
"passed","Thu Oct 27 23:07:12 MSK 2022","Thu Oct 27 23:07:12 MSK 2022","277","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","1. Проверка текста в ответе на важный вопрос ""Сколько это стоит? И как оплатить?""",""
"passed","Thu Oct 27 23:07:32 MSK 2022","Thu Oct 27 23:07:32 MSK 2022","246","tests","Тестирование блока 'Вопросы о Важном'","TestQuestion","","","4. Проверка текста в ответе на важный вопрос ""Можно ли заказать самокат прямо на сегодня?""",""
"passed","Thu Oct 27 23:08:15 MSK 2022","Thu Oct 27 23:08:19 MSK 2022","3825","tests","Тестирование блока оформления заказа","TestOrderPage","","","2. Проверка создания заказа на самокат, через кнопку 'Заказать' в теле сайта",""
